"","age_grp","mean_km"
"1","15-19",0.393848022695825
"2","20-24",0.259792620875666
"3","25-29",0.299175656412651
"4","30-34",0.333998745930233
"5","35-39",0.401517493033635
"6","40-44",0.317904950646075
"7","45-49",0.356341627558606
"8","50-54",0.30062990691768
"9","55-59",0.280249363083607
"10","60-64",0.328940879811889
"11","65-69",0.341549904869492
"12","70-74",0.441888890103636
"13","75-79",0.208782917078035
"14","80-84",0.10457633855036
"15","85-89",0.0586419751234568
