"","age_grp","mean_km_week","mean_km_week_low","mean_km_week_upp","sexe"
"1","10-14",1.54638156223149,0.690909793779746,2.40185333068324,"Both"
"2","100-104",0,0,0,"Both"
"3","15-19",3.55915030128666,1.06247472466421,6.0558258779091,"Both"
"4","20-24",0.876773286084932,0.158143596707264,1.5954029754626,"Both"
"5","25-29",1.75261515205398,0.720617537986187,2.78461276612176,"Both"
"6","30-34",2.54063850494455,0.896537267581494,4.18473974230761,"Both"
"7","35-39",2.20858195094782,0.995921321255315,3.42124258064032,"Both"
"8","40-44",2.72585544488739,0.992323610124832,4.45938727964996,"Both"
"9","45-49",2.8215327157818,1.52462718928251,4.11843824228109,"Both"
"10","5-9",0.416849154754733,0.0629284359973082,0.770769873512157,"Both"
"11","50-54",1.77445972485597,0.936164261921694,2.61275518779024,"Both"
"12","55-59",1.1394178993546,0.598237076956283,1.68059872175291,"Both"
"13","60-64",1.84162246705724,0.94499736324699,2.73824757086749,"Both"
"14","65-69",2.08331733284425,1.09822090121034,3.06841376447815,"Both"
"15","70-74",1.91059811995885,0.76704701161776,3.05414922829994,"Both"
"16","75-79",1.1641493969978,0,2.75492452318192,"Both"
"17","80-84",1.31851210807505,0.17848896106203,2.45853525508807,"Both"
"18","85-89",0.618323521288127,0,1.29441854459157,"Both"
"19","90-94",0,0,0,"Both"
"20","95-99",0,0,0,"Both"
